,artist_name,track_name,song_id
92,chastity belt,seattle party,3OHdhLUobIIKskQHLJAaqe
93,elvis presley,my way,2VGkf2IJXOSWouDhatlH3i
94,the guess who,when you touch me,36Xf9sOj6JQnyBxKOQdAaF
95,naughty by nature,o.p.p. (re-recorded),4olPjhmLorTREwFO8YvHDk
96,ballyhoo!,selling out,06EnrkMo8s615M1rq9R0Nq
97,bruce hornsby,mandolin rain,3T8Ye4NB0MQhcEcxzMdAuH
99,cypress hill,(rock) superstar,5hYr8yRbQLFE20oS7Mi3T2
100,robin trower,ready for the taking,4krdEDkfjBcyCxhi01r0Y6
101,little feat,join the band,0FurVQ0EokPigbJnjAJqX8
102,ozzy osbourne,diary of a madman,6joOV9D7y7TzWQprwrInUh
103,peter tosh,mystery babylon,5L3Xsu9mgIhcTn86T5Nui0
104,delbert mcclinton,shot from the saddle,0YkPyp7yX0O4fsg8ssBfpL
105,phish,waste,6dKntZwVJx0QLX6IM19gC7
107,charley pride,busted,48G6ACO6Awe7oZwvOKPVFC
108,phyllis hyman,what you won't do for love,7Cw9qRzAA9RMH4DxMkg6pr
109,rick braun,come with me,1XXC4wrqwiNQZTrGvnbACG
110,slave,smokin',35ynRVAgEtlqr82u5Mvlct
111,love,dream,4ZRCedGgRihP3QkJuqDMOW
112,the neville brothers,steer me right,7JOyyggmgb5b3PjjUDNqYK
113,slayer,kill again,0Auq7v8eMbFXMi6ZaMCb09
114,galactic,stax jam,5IfZsdLhf0g3q1LHOLWMKt
115,leroyce,catch my drift,1pOw0A9OZ8VqQyuhGGBf3h
116,ella fitzgerald,just you just me,1705rRR3YgJWDNktkXE1qW
117,the brian jonestown massacre,fucker,2khc6kEG4eBvYN1GvR6R97
118,travis scott,stop trying to be god,1xYpVRspgaLxdJLOTQkTjg
119,xploding plastix,funnybones & lazylegs,6j6NF0hzixG0yHdWM0OEZg
120,johnny paycheck,loving you beats all i ever seen,3t9m9ddMxd3ff1Z9TLbGNA
121,g. love & special sauce,shooting hoops,0gsFtv4YvS6DQieNmc9Rc3
122,popcaan,"party shot (ravin, pt. 2)",2Pm0K7SlmyQWfj4A7qFWc0
123,soom t,free as a bird,3c95UZIEy9cPgLBK4yKx78
124,xtc,roads girdle the globe,33BrbTNaKetenya8gALcvK
125,keyshia cole,i changed my mind,4w4RaMGPl2qnjSdPlp1KAE
126,maceo parker,them that got,5azJ5CcX8EnNCRFog5G24Z
127,sparks,here in heaven,22HvxbTL45rqDZPNuMRkqg
128,strawberry switchblade,go away,19wyEOwk4PTvfhBxSoZ34a
129,santana,"soul sacrifice / head, hands & feet",4IbtKnLEvJZRnLhaVT2Yic
