,Song_title,Artist,song_id
85,Burn It Down,Parker McCollum,4bARASJEokNacSYtEhoNBp
87,Segun Quien,Maluma & Carin Leon,6fNCrsrdIcgVd2aZZ0nnz4
89,DJ Play A Christmas Song,Cher,18uSfZqFBxQFi8CsXOIbhy
90,Mind On You,George Birge,7rr3gguU3TcVnLZD9VzASE
91,Lace It,"Juice WRLD, Eminem & benny blanco",4qmG24ebshLXtKu9HIShBP
93,Feather,Sabrina Carpenter,2Zo1PcszsT9WQ0ANntJbID
94,Can't Catch Me Now,Olivia Rodrigo,56xHMIfQPoe0prrSi3BGhf
95,El Amor de Su Vida,Grupo Frontera & Grupo Firme,0O3U5iwTbiXCREMkvotJuN
96,Standing Next To You,Jung Kook,2KslE17cAJNHTsI2MI0jb2
99,Great Gatsby,Rod Wave,4M68xjcc42oxyphhzpOWXS
